Timestamp,Activity,Details
Fri May 31 13:02:23.275 2019,MouseMove,
Fri May 31 13:02:23.284 2019,MouseMove,
Fri May 31 13:02:23.290 2019,MouseMove,
Fri May 31 13:02:23.305 2019,MouseMove,
Fri May 31 13:02:23.317 2019,MouseMove,
Fri May 31 13:02:23.320 2019,MouseMove,
Fri May 31 13:02:23.330 2019,MouseMove,
Fri May 31 13:02:23.341 2019,MouseMove,
Fri May 31 13:02:23.361 2019,MouseMove,
Fri May 31 13:02:23.745 2019,MouseMove,
Fri May 31 13:02:23.748 2019,MouseMove,
Fri May 31 13:02:23.758 2019,MouseMove,
Fri May 31 13:02:23.770 2019,MouseMove,
Fri May 31 13:02:23.774 2019,MouseMove,
Fri May 31 13:02:23.785 2019,MouseMove,
Fri May 31 13:02:23.790 2019,MouseMove,
Fri May 31 13:02:23.800 2019,MouseMove,
Fri May 31 13:02:23.804 2019,MouseMove,
Fri May 31 13:02:23.815 2019,MouseMove,
Fri May 31 13:02:23.824 2019,MouseMove,
Fri May 31 13:02:23.831 2019,MouseMove,
Fri May 31 13:02:23.840 2019,MouseMove,
Fri May 31 13:02:23.844 2019,MouseMove,
Fri May 31 13:02:23.854 2019,MouseMove,
Fri May 31 13:02:23.865 2019,MouseMove,
Fri May 31 13:02:23.870 2019,MouseMove,
Fri May 31 13:02:23.881 2019,MouseMove,
Fri May 31 13:02:23.886 2019,MouseMove,
Fri May 31 13:02:23.896 2019,MouseMove,
Fri May 31 13:02:23.901 2019,MouseMove,
Fri May 31 13:02:23.911 2019,MouseMove,
Fri May 31 13:02:23.921 2019,MouseMove,
Fri May 31 13:02:23.927 2019,MouseMove,
Fri May 31 13:02:23.937 2019,MouseMove,
Fri May 31 13:02:23.940 2019,MouseMove,
Fri May 31 13:02:23.967 2019,MouseMove,
Fri May 31 13:02:23.977 2019,MouseMove,
Fri May 31 13:02:23.987 2019,MouseMove,
Fri May 31 13:02:23.991 2019,MouseMove,
Fri May 31 13:02:24.002 2019,MouseMove,
Fri May 31 13:02:24.007 2019,MouseMove,
Fri May 31 13:02:24.017 2019,MouseMove,
Fri May 31 13:02:24.023 2019,MouseMove,
Fri May 31 13:02:24.032 2019,MouseMove,
Fri May 31 13:02:24.043 2019,MouseMove,
Fri May 31 13:02:24.047 2019,MouseMove,
Fri May 31 13:02:24.057 2019,MouseMove,
Fri May 31 13:02:24.063 2019,MouseMove,
Fri May 31 13:02:24.073 2019,MouseMove,
Fri May 31 13:02:24.082 2019,MouseMove,
Fri May 31 13:02:24.086 2019,MouseMove,
Fri May 31 13:02:24.096 2019,MouseMove,
Fri May 31 13:02:24.102 2019,MouseMove,
Fri May 31 13:02:24.112 2019,MouseMove,
Fri May 31 13:02:24.118 2019,MouseMove,
Fri May 31 13:02:24.128 2019,MouseMove,
Fri May 31 13:02:24.139 2019,MouseMove,
Fri May 31 13:02:24.143 2019,MouseMove,
Fri May 31 13:02:24.152 2019,MouseMove,
Fri May 31 13:02:24.158 2019,MouseMove,
Fri May 31 13:02:24.169 2019,MouseMove,
Fri May 31 13:02:24.179 2019,MouseMove,
Fri May 31 13:02:24.213 2019,MouseMove,
Fri May 31 13:02:24.219 2019,MouseMove,
Fri May 31 13:02:24.229 2019,MouseMove,
Fri May 31 13:02:24.235 2019,MouseMove,
Fri May 31 13:02:24.245 2019,MouseMove,
Fri May 31 13:02:24.255 2019,MouseMove,
Fri May 31 13:02:24.259 2019,MouseMove,
Fri May 31 13:02:24.268 2019,MouseMove,
Fri May 31 13:02:24.274 2019,MouseMove,
Fri May 31 13:02:24.285 2019,MouseMove,
Fri May 31 13:02:24.294 2019,MouseMove,
Fri May 31 13:02:24.298 2019,MouseMove,
Fri May 31 13:02:24.308 2019,MouseMove,
Fri May 31 13:02:24.314 2019,MouseMove,
Fri May 31 13:02:24.324 2019,MouseMove,
Fri May 31 13:02:24.328 2019,MouseMove,
Fri May 31 13:02:24.338 2019,MouseMove,
Fri May 31 13:02:24.355 2019,MouseMove,
Fri May 31 13:02:24.355 2019,MouseMove,
Fri May 31 13:02:24.364 2019,MouseMove,
Fri May 31 13:02:24.370 2019,MouseMove,
Fri May 31 13:02:24.381 2019,MouseMove,
Fri May 31 13:02:24.391 2019,MouseMove,
Fri May 31 13:02:24.395 2019,MouseMove,
Fri May 31 13:02:24.405 2019,MouseMove,
Fri May 31 13:02:24.410 2019,MouseMove,
Fri May 31 13:02:24.421 2019,MouseMove,
Fri May 31 13:02:24.425 2019,MouseMove,
Fri May 31 13:02:24.435 2019,MouseMove,
Fri May 31 13:02:24.445 2019,MouseMove,
Fri May 31 13:02:24.451 2019,MouseMove,
Fri May 31 13:02:24.466 2019,MouseMove,
Fri May 31 13:02:24.477 2019,MouseMove,
Fri May 31 13:02:24.480 2019,MouseMove,
Fri May 31 13:02:24.490 2019,MouseMove,
Fri May 31 13:02:24.497 2019,MouseMove,
Fri May 31 13:02:24.507 2019,MouseMove,
Fri May 31 13:02:24.510 2019,MouseMove,
Fri May 31 13:02:24.521 2019,MouseMove,
Fri May 31 13:02:24.531 2019,MouseMove,
Fri May 31 13:02:24.536 2019,MouseMove,
Fri May 31 13:02:24.547 2019,MouseMove,
Fri May 31 13:02:24.551 2019,MouseMove,
